PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
E3I4Q1_RHOVT/27-158	1.098462 (7)	11.250000 (3)	56.916668 (3)
H0KJL3_BIFAN/10-164	12.416924 (17)	0.000000 (0)	0.000000 (0)
H1XXN3_9BACT/225-370	4.270769 (11)	0.000000 (0)	0.000000 (0)
Q7QH56_ANOGA/7-153	41.424614 (24)	0.000000 (0)	0.000000 (1)
Q46IM2_PROMT/5-152	37.856922 (24)	0.000000 (0)	0.000000 (0)
C5T0T5_ACIDE/6-151	37.372307 (24)	0.000000 (0)	0.000000 (0)
A9KM77_CLOPH/4-145	11.892307 (16)	0.000000 (0)	0.000000 (0)
F6CLU8_DESK7/7-136	1.538462 (8)	131.732147 (8)	117.500000 (4)
F9S0F8_9VIBR/5-142	7.767692 (14)	0.000000 (0)	0.000000 (0)
Q3JQN2_BURP1/6-151	40.544617 (25)	0.000000 (0)	0.000000 (0)
G5JXQ6_9STRE/4-137	18.752308 (18)	0.000000 (0)	0.000000 (0)
F3QSE4_9BACT/4-149	38.263077 (24)	0.000000 (0)	0.000000 (0)
F9ZLR6_ACICS/6-136	1.941538 (9)	108.482140 (7)	0.000000 (0)
B9DMC8_STACT/3-135	5.224616 (13)	0.000000 (0)	0.000000 (0)
A3PV47_MYCSJ/1-160	5.893846 (12)	0.000000 (0)	0.000000 (0)
C1FQA1_CLOBJ/3-141	3.115385 (11)	0.000000 (1)	0.000000 (0)
A6GT57_9BURK/5-150	34.438461 (23)	0.000000 (0)	0.000000 (0)
H8E408_9MICO/8-129	0.909231 (7)	5.107143 (2)	62.583332 (3)
F3I9B0_PSESF/5-146	8.260000 (14)	0.000000 (0)	0.000000 (0)
A7M6X6_KLEPN/5-139	6.744616 (13)	0.000000 (1)	0.000000 (0)
A8MKL8_ALKOO/5-125	1.233846 (9)	47.857143 (5)	117.500000 (4)
F8B6A2_FRADG/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
F9B181_VIBCL/8-149	13.796923 (17)	0.000000 (0)	0.000000 (0)
G2Z5B4_FLABF/5-147	41.424614 (24)	0.000000 (0)	0.000000 (0)
C8NIK3_9LACT/14-154	18.244616 (18)	0.000000 (0)	0.000000 (0)
H0HHG5_RHIRD/115-249	0.472308 (5)	104.964287 (7)	0.000000 (1)
A4FZ17_METM5/12-131	0.593846 (6)	19.142857 (3)	56.916668 (3)
Q2JAJ9_FRASC/20-141	0.644615 (6)	54.071430 (5)	117.500000 (4)
C5EBB0_BIFLI/9-165	10.341538 (16)	0.000000 (0)	0.000000 (0)
D5ERJ3_PRER2/5-142	17.290770 (18)	0.000000 (0)	0.000000 (0)
A8GC48_SERP5/5-139	9.050769 (15)	0.000000 (0)	0.000000 (0)
A3NYS5_BURP0/5-138	7.038462 (14)	0.000000 (0)	0.000000 (1)
E1SMQ1_FERBD/1-138	37.060001 (22)	0.000000 (0)	0.000000 (0)
B8KJG0_9GAMM/12-151	9.196923 (15)	3.928571 (2)	0.000000 (1)
D7AR61_THEM3/3-143	4.826154 (12)	0.000000 (1)	0.000000 (1)
B4HFP2_DROSE/3-150	22.564615 (20)	0.000000 (0)	0.000000 (0)
E4Q6G2_CALOW/5-148	4.392308 (12)	0.000000 (0)	56.916668 (3)
H6RPZ9_BLASD/87-208	0.726154 (7)	54.071430 (5)	117.500000 (4)
D5P0Y2_CORAM/1-131	11.512308 (11)	0.000000 (0)	0.000000 (1)
B8DBG9_LISMH/3-134	6.892308 (14)	0.000000 (1)	0.000000 (0)
C1F0P4_BACC3/4-140	4.429231 (12)	0.000000 (0)	0.000000 (0)
E4MR40_CAPOC/6-148	42.972309 (25)	0.000000 (0)	0.000000 (0)
H2G5X7_CORDP/15-157	21.172308 (19)	0.000000 (0)	0.000000 (1)
G4CHQ3_9NEIS/4-144	21.761538 (19)	0.000000 (0)	0.000000 (1)
Q9WW40_KLEPN/5-139	5.407692 (12)	0.000000 (0)	0.000000 (0)
Q1YTT9_9GAMM/10-155	42.195385 (25)	0.000000 (0)	0.000000 (0)
Q9A1Y0_STRP1/4-137	16.024616 (17)	0.000000 (1)	0.000000 (0)
D8NDP1_RALSL/5-138	11.506154 (16)	0.000000 (0)	0.000000 (1)
B4EL49_BURCJ/32-173	1.790769 (9)	0.000000 (1)	0.000000 (1)
A1A355_BIFAA/3-173	2.275385 (9)	0.000000 (1)	0.000000 (0)
D7BD99_MEISD/3-130	0.476923 (4)	105.267860 (7)	117.500000 (4)
F3AVK6_9FIRM/361-497	1.543077 (5)	0.000000 (1)	0.000000 (1)
E7P777_PSESG/5-141	9.533846 (15)	0.000000 (0)	0.000000 (0)
Q0KJB6_9SPHN/22-156	0.906154 (7)	131.732147 (8)	0.000000 (0)
B9LN76_HALLT/12-140	0.800000 (7)	29.482143 (4)	117.500000 (4)
C0N7E7_9GAMM/6-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
C7NMG0_HALUD/8-133	0.800000 (7)	0.000000 (1)	117.500000 (4)
B9LC70_CHLSY/109-238	0.472308 (5)	104.964287 (7)	65.833336 (3)
D6GVM4_9EURY/3-127	0.644615 (6)	29.964285 (4)	117.500000 (4)
A1W5I0_ACISJ/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q26BP3_FLABB/6-148	37.856922 (24)	0.000000 (0)	0.000000 (0)
Q5YM79_NOCFA/90-211	0.643077 (6)	54.071430 (5)	117.500000 (4)
H0E7N0_9ACTN/3-151	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q88LM6_PSEPK/3-147	33.926155 (23)	0.000000 (0)	0.000000 (0)
D5XDI6_THEPJ/5-152	2.989231 (10)	0.000000 (0)	13.416667 (2)
C8PGJ3_9PROT/3-176	24.152308 (20)	0.000000 (0)	0.000000 (0)
E0Q4Q4_9BIFI/3-175	8.353847 (14)	0.000000 (1)	0.000000 (1)
E2TPJ0_MYCTU/299-420	0.644615 (6)	39.035713 (4)	117.500000 (4)
D2T8V4_ERWP6/5-139	9.310769 (15)	0.000000 (1)	0.000000 (0)
C7GFQ7_9FIRM/1-143	7.087692 (8)	0.000000 (0)	0.000000 (0)
B3LWV3_DROAN/3-150	22.564615 (20)	0.000000 (0)	0.000000 (0)
E1NC02_9BIFI/3-175	4.870769 (12)	0.000000 (0)	13.416667 (2)
H0RFF8_9ACTO/7-148	21.172308 (19)	0.000000 (0)	0.000000 (1)
D6EPC6_STRLI/8-129	0.953846 (7)	54.071430 (5)	117.500000 (4)
G0V882_NAUCC/12-158	38.481537 (24)	0.000000 (0)	0.000000 (0)
B4JV31_DROGR/6-150	9.684615 (15)	0.000000 (1)	0.000000 (1)
C0CYT7_9CLOT/11-152	15.396923 (17)	0.000000 (0)	0.000000 (0)
D5WTL0_BACT2/4-148	19.506153 (19)	0.000000 (0)	0.000000 (0)
B4JYC2_DROGR/11-158	40.987694 (24)	0.000000 (0)	0.000000 (0)
A4YC44_SHEPC/5-129	1.536923 (8)	46.732143 (5)	0.000000 (1)
C5QUT5_STAEP/6-129	1.201538 (7)	108.482140 (7)	65.833336 (3)
E6QMP3_9ZZZZ/4-126	0.643077 (6)	39.035713 (4)	117.500000 (4)
D4H286_DENA2/4-136	0.543077 (5)	84.446426 (6)	117.500000 (4)
H6SE74_MYCTU/7-150	21.172308 (19)	0.000000 (0)	0.000000 (0)
G9F0M6_CLOSG/5-126	0.786154 (7)	34.017857 (4)	0.000000 (1)
B4S8M7_PROA2/7-142	0.755385 (6)	12.017858 (3)	117.500000 (4)
F9W0U4_9ACTO/8-129	0.644615 (6)	54.071430 (5)	117.500000 (4)
B7VHN3_VIBSL/5-143	7.721539 (14)	0.000000 (0)	0.000000 (0)
D1NPG1_CLOTM/4-154	3.996923 (12)	0.000000 (0)	0.000000 (0)
H1U6C3_9BACT/7-151	5.460000 (12)	0.000000 (0)	0.000000 (1)
E0N464_9ACTO/3-171	12.416924 (17)	0.000000 (1)	0.000000 (0)
H9IRX9_ATTCE/163-303	14.589231 (16)	0.000000 (1)	0.000000 (0)
Q88JD3_PSEPK/3-134	0.944615 (7)	131.732147 (8)	0.000000 (1)
D1EGB2_NEIGO/6-146	21.952307 (19)	0.000000 (0)	0.000000 (0)
C0M833_STRE4/4-137	16.024616 (17)	0.000000 (0)	0.000000 (0)
E3ZU04_LISSE/4-133	1.509231 (8)	108.482140 (7)	117.500000 (4)
Q1AS39_RUBXD/7-136	0.472308 (5)	131.732147 (8)	117.500000 (4)
F3S0Q8_VIBPA/5-143	9.310769 (15)	0.000000 (0)	0.000000 (0)
D3MMS9_PROAA/9-151	11.438461 (16)	0.000000 (0)	0.000000 (0)
C6XYC2_PEDHD/3-141	27.041538 (21)	0.000000 (0)	0.000000 (0)
Q8TLD3_METAC/13-152	0.472308 (5)	105.267860 (7)	117.500000 (4)
I0KLW3_STEMA/9-143	0.755385 (6)	131.732147 (8)	0.000000 (0)
B0K915_THEP3/8-137	1.201538 (7)	108.482140 (7)	117.500000 (4)
I0IRL4_9BACT/433-571	9.024615 (13)	0.000000 (0)	0.000000 (0)
Q8G7L6_BIFLO/3-175	4.870769 (12)	0.000000 (0)	13.416667 (2)
F3SFS4_9PROT/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
Q5YZB4_NOCFA/9-150	21.172308 (19)	0.000000 (0)	0.000000 (1)
D5DXN9_BACMQ/4-147	27.106153 (21)	0.000000 (0)	0.000000 (0)
E7MPN4_9FIRM/1-133	8.021539 (9)	0.000000 (0)	0.000000 (0)
E8SJG5_STAPH/6-129	1.201538 (7)	78.160713 (6)	65.833336 (3)
C9BF35_ENTFC/4-147	30.826155 (22)	0.000000 (0)	0.000000 (0)
D3FER2_CONWI/4-152	37.646152 (24)	0.000000 (0)	0.000000 (0)
D0DTD1_LACFE/4-133	1.201538 (7)	98.392860 (7)	117.500000 (4)
B2PVB5_PROST/5-139	4.653846 (12)	0.000000 (0)	0.000000 (0)
B3EKM8_CHLPB/6-138	1.066154 (6)	105.267860 (7)	117.500000 (4)
C6Z0X9_9BACE/3-133	1.201538 (7)	105.267860 (7)	65.833336 (3)
F8C7B0_MYXFH/4-126	0.633846 (6)	39.035713 (4)	19.500000 (2)
F3U1R2_RHOSH/7-150	41.206154 (24)	0.000000 (0)	0.000000 (0)
G4LI01_PSEAI/3-134	0.944615 (7)	131.732147 (8)	0.000000 (0)
F0BSG0_9XANT/3-148	38.718460 (24)	0.000000 (0)	0.000000 (0)
D5DWH6_BACMQ/4-139	3.495385 (11)	0.000000 (0)	0.000000 (0)
D9VRR3_9ACTO/9-130	0.953846 (7)	54.071430 (5)	117.500000 (4)
H1Z6X6_9FLAO/5-147	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q3AUV2_SYNS9/5-152	36.526154 (24)	0.000000 (0)	0.000000 (0)
F5KQM4_PSEAI/7-131	1.300000 (8)	12.017858 (3)	0.000000 (0)
G4E5K5_9GAMM/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
E3C9M7_9LACO/3-146	27.049231 (21)	0.000000 (0)	0.000000 (1)
A0QRM5_MYCS2/6-127	0.476923 (5)	54.071430 (5)	117.500000 (4)
Q92D81_LISIN/4-146	30.826155 (22)	0.000000 (0)	0.000000 (0)
D0MID6_RHOM4/11-157	36.526154 (24)	0.000000 (0)	0.000000 (0)
E6RLU2_PSEU9/4-146	41.141537 (24)	0.000000 (0)	0.000000 (0)
E5WGQ4_9BACI/4-139	4.766154 (12)	0.000000 (0)	0.000000 (1)
F4XMD8_9CYAN/1-128	26.832308 (16)	0.000000 (0)	0.000000 (0)
E6QFV5_9ZZZZ/6-136	1.538462 (8)	131.732147 (8)	0.000000 (0)
Q2LMN7_9BACT/3-133	1.538462 (8)	131.732147 (8)	0.000000 (0)
Q72BJ0_DESVH/6-137	1.141539 (7)	105.267860 (7)	117.500000 (4)
A4SG89_PROVI/5-135	1.201538 (7)	105.267860 (7)	117.500000 (4)
C3JXQ9_PSEFS/5-141	7.423077 (14)	0.000000 (0)	0.000000 (0)
A7GV69_BACCN/4-140	3.495385 (11)	0.000000 (1)	0.000000 (0)
D6L1J6_9NEIS/4-144	15.446154 (16)	0.000000 (0)	0.000000 (1)
Q8FNK6_COREF/21-164	22.469231 (20)	0.000000 (0)	0.000000 (1)
E6ZZD0_SPORE/16-158	41.424614 (24)	0.000000 (0)	0.000000 (0)
D0DLP2_9LACO/4-149	18.540001 (19)	0.000000 (1)	0.000000 (0)
H2IPG8_RAHAC/5-139	7.612308 (14)	0.000000 (0)	0.000000 (0)
F4GPQ6_PUSST/4-140	10.658462 (16)	0.000000 (0)	0.000000 (0)
H0I5T0_9MYCO/8-132	0.535385 (5)	9.321428 (3)	62.583332 (3)
D1C3J0_SPHTD/120-248	0.527692 (6)	104.964287 (7)	24.333334 (2)
G3ISL0_9GAMM/4-135	1.633846 (9)	108.482140 (7)	0.000000 (0)
C1AUF0_RHOOB/10-151	14.409231 (17)	0.000000 (0)	0.000000 (1)
Q4WWA7_ASPFU/21-142	0.644615 (6)	54.071430 (5)	117.500000 (4)
Q11D06_MESSB/9-153	37.689232 (24)	0.000000 (0)	0.000000 (0)
C7RBZ2_KANKD/6-153	39.363075 (24)	0.000000 (0)	0.000000 (0)
F4AQJ9_GLAS4/3-134	0.689231 (6)	78.160713 (6)	0.000000 (1)
C9V7W5_BRUNE/13-156	42.972309 (25)	0.000000 (0)	0.000000 (0)
B3MSR0_DROAN/6-153	14.912308 (17)	0.000000 (1)	0.000000 (1)
A0SNZ1_9EURY/7-134	0.476923 (4)	45.000000 (5)	0.000000 (1)
I0WC56_9NOCA/3-166	4.829231 (13)	0.000000 (0)	0.000000 (0)
Q11N26_MESSB/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
D1BDP5_SANKS/11-135	0.535385 (5)	9.321428 (3)	62.583332 (3)
G4FUG5_9GAMM/6-139	0.755385 (6)	131.732147 (8)	0.000000 (1)
Q1IME2_KORVE/16-145	1.201538 (7)	131.732147 (8)	117.500000 (4)
E9C5N0_CAPO3/7-155	20.535385 (19)	0.000000 (0)	0.000000 (0)
G1U9V4_LACJH/5-150	20.203077 (19)	0.000000 (0)	0.000000 (1)
B0SEX7_LEPBA/5-134	1.201538 (7)	85.178574 (6)	65.833336 (3)
F9N7B2_9FIRM/3-143	3.609231 (11)	0.000000 (0)	0.000000 (0)
C0VP94_9GAMM/7-158	42.195385 (25)	0.000000 (0)	0.000000 (0)
F5Z0U7_MYCSD/8-151	17.521538 (18)	0.000000 (0)	0.000000 (0)
D9R317_CLOSW/10-151	11.892307 (16)	0.000000 (0)	0.000000 (0)
Q4ZRG6_PSEU2/5-141	7.612308 (15)	0.000000 (0)	0.000000 (0)
Q898Y1_CLOTE/7-144	2.620000 (10)	0.000000 (0)	0.000000 (0)
G3TZU4_LOXAF/9-151	20.635386 (19)	0.000000 (0)	0.000000 (0)
H1N7K3_9PLAN/226-371	2.923077 (10)	0.000000 (0)	0.000000 (0)
Q5KLY6_CRYNJ/1-146	31.393847 (17)	0.000000 (0)	0.000000 (0)
I1DYJ6_9GAMM/3-146	37.869232 (24)	0.000000 (0)	0.000000 (0)
H0QN90_ARTGO/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
C4LLU1_CORK4/3-189	5.909231 (14)	0.000000 (0)	0.000000 (0)
A7V024_BACUN/4-150	39.244614 (24)	0.000000 (0)	0.000000 (0)
D1W7V5_9BACT/8-154	46.073845 (26)	0.000000 (0)	0.000000 (0)
C1BXL2_ESOLU/8-153	39.775383 (25)	0.000000 (0)	0.000000 (0)
G7F2D9_9GAMM/5-141	7.721539 (14)	0.000000 (0)	0.000000 (0)
C7MAY9_BRAFD/17-143	0.535385 (5)	12.071428 (3)	62.583332 (3)
B6HEC9_PENCW/12-161	42.195385 (25)	0.000000 (0)	0.000000 (0)
H8E6U9_9MICO/42-189	27.260000 (21)	0.000000 (0)	0.000000 (0)
E8YNE7_9BURK/5-150	3.578462 (11)	0.000000 (0)	0.000000 (1)
A4G9X8_HERAR/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
E5ASB3_BURRH/133-278	40.544617 (25)	0.000000 (0)	0.000000 (0)
H1JTJ1_9MYCO/100-219	0.643077 (7)	45.232143 (5)	0.000000 (1)
E8N514_ANATU/10-148	20.695385 (19)	0.000000 (0)	0.000000 (0)
C2D136_LACBR/10-139	1.201538 (7)	131.732147 (8)	117.500000 (4)
D8I5D0_AMYMU/4-146	23.541538 (20)	0.000000 (0)	0.000000 (0)
A6CF74_9PLAN/216-361	4.152308 (12)	0.000000 (0)	0.000000 (0)
H7U3G7_CAMCO/3-127	0.786154 (7)	74.875000 (6)	0.000000 (1)
F8DNU0_LACRS/3-146	17.692308 (19)	0.000000 (0)	0.000000 (0)
H1D0X0_9FIRM/4-146	4.286154 (8)	0.000000 (1)	0.000000 (0)
G4QVB6_CORPS/1-142	21.172308 (19)	0.000000 (0)	0.000000 (1)
E9T6Q9_COREQ/4-145	21.172308 (19)	0.000000 (0)	0.000000 (1)
Q2W8B8_MAGSA/11-145	0.232308 (3)	0.000000 (1)	0.000000 (0)
Q3IV71_RHOS4/6-140	7.218462 (14)	0.000000 (0)	0.000000 (0)
Q1GQ26_SPHAL/9-143	0.755385 (6)	99.410713 (7)	0.000000 (0)
E8LMW0_9GAMM/1-130	8.021539 (9)	0.000000 (0)	0.000000 (0)
Q3DL92_STRAG/4-137	13.530769 (16)	0.000000 (0)	0.000000 (0)
H1C6E3_9FIRM/4-150	17.290770 (18)	0.000000 (0)	0.000000 (0)
E3DYA4_BACA1/3-142	3.118462 (11)	0.000000 (0)	24.000000 (2)
F9W1J3_9ACTO/7-131	0.770769 (6)	0.000000 (1)	0.000000 (1)
B9MHA3_ACIET/7-143	0.744615 (7)	131.732147 (8)	0.000000 (1)
G6FWA9_9CYAN/5-159	46.073845 (26)	0.000000 (0)	0.000000 (0)
E9KN47_9RHIZ/8-142	0.755385 (6)	131.732147 (8)	0.000000 (0)
C0CKY0_9FIRM/1-129	8.021539 (9)	0.000000 (0)	0.000000 (0)
E2T535_9RALS/8-142	0.683077 (5)	131.732147 (8)	0.000000 (1)
A3Z918_9SYNE/11-158	36.526154 (24)	0.000000 (0)	0.000000 (0)
F3SS03_STAWA/3-137	4.330769 (12)	0.000000 (0)	0.000000 (0)
B0T775_CAUSK/8-143	1.104615 (7)	9.321428 (3)	56.916668 (3)
C5D5B0_GEOSW/4-147	31.621538 (22)	0.000000 (0)	0.000000 (0)
F5XIY6_MICPN/23-166	12.416924 (17)	0.000000 (0)	0.000000 (0)
C6A6U1_BIFLB/10-164	12.416924 (17)	0.000000 (0)	0.000000 (0)
D5PGE4_9MYCO/8-138	2.060000 (10)	0.000000 (0)	0.000000 (0)
B8HV07_CYAP4/4-126	0.538462 (6)	24.428572 (4)	65.833336 (3)
G2K4W0_LISMN/4-146	30.826155 (22)	0.000000 (0)	0.000000 (0)
Q02XW9_LACLS/4-132	1.509231 (8)	108.482140 (7)	117.500000 (4)
B7K816_CYAP7/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
B7AEA3_9BACE/3-133	1.201538 (7)	85.178574 (6)	65.833336 (3)
B4MBL7_DROVI/11-158	35.209232 (23)	0.000000 (0)	0.000000 (0)
B3QFQ6_RHOPT/8-142	0.755385 (6)	98.392860 (7)	0.000000 (0)
B8G604_CHLAD/8-143	1.638462 (6)	0.000000 (0)	0.000000 (0)
F4RDG6_MELLP/23-149	33.980000 (21)	0.000000 (0)	0.000000 (0)
H2BCG7_CHRVL/8-138	1.538462 (8)	131.732147 (8)	0.000000 (0)
I0QKL1_STRSL/4-137	16.024616 (17)	0.000000 (0)	0.000000 (0)
A0KM81_AERHH/5-139	8.220000 (14)	0.000000 (0)	0.000000 (0)
Q07I31_RHOP5/13-147	0.930769 (7)	11.250000 (3)	56.916668 (3)
E7RF17_9BACL/4-145	24.630770 (20)	0.000000 (0)	0.000000 (0)
I1AGH0_PSEAI/7-131	1.300000 (8)	42.517857 (5)	14.250000 (2)
D5DNR6_BACMQ/6-136	1.201538 (7)	108.482140 (7)	65.833336 (3)
H7FC03_9CLOT/4-144	17.269230 (17)	0.000000 (1)	0.000000 (0)
D0SEF4_ACIJO/9-160	42.195385 (25)	0.000000 (0)	0.000000 (0)
F0FMD8_STRSA/4-135	16.024616 (17)	0.000000 (0)	0.000000 (0)
Q2LTF6_SYNAS/6-137	0.910769 (7)	60.821430 (6)	117.500000 (4)
H2AYT9_KAZAF/9-155	38.481537 (24)	0.000000 (0)	0.000000 (0)
B4EHP0_BURCJ/8-149	10.961538 (17)	0.000000 (0)	0.000000 (0)
B4SJD3_STRM5/6-140	0.820000 (7)	131.732147 (8)	0.000000 (0)
F5XPA9_MICPN/205-328	0.644615 (6)	54.071430 (5)	24.333334 (2)
Y328_SYNY3/3-148	46.073845 (26)	0.000000 (0)	0.000000 (0)
G7SRN8_PASMD/5-144	7.561539 (14)	0.000000 (1)	0.000000 (0)
D0SQZ0_ACIJU/6-139	8.260000 (14)	0.000000 (1)	0.000000 (1)
B0EDG8_ENTDS/3-147	38.263077 (24)	0.000000 (0)	0.000000 (0)
B8K6I2_VIBPA/5-143	7.243077 (14)	0.000000 (0)	0.000000 (0)
D7C8Q2_STRBB/9-159	26.463078 (21)	0.000000 (0)	0.000000 (0)
F0JD36_DESDE/3-136	1.066154 (6)	81.928574 (6)	117.500000 (4)
I0PX87_MYCAB/7-128	0.644615 (6)	54.071430 (5)	117.500000 (4)
E6UVA2_VARPE/6-148	23.513845 (21)	0.000000 (0)	0.000000 (0)
