PROTEIN_SEQUENCE	Comm1 (6)	Comm2 (2)
E4XVF7_OIKDI/40-183	0.433333 (2)	0.000000 (0)
PA22_ACAPL/24-158	12.733334 (6)	0.000000 (1)
F5CPF1_MICAT/28-142	12.733334 (6)	10.500000 (2)
E4YD73_OIKDI/82-230	0.000000 (0)	0.000000 (0)
Q8AXW7_MICCO/28-145	12.733334 (6)	10.500000 (2)
E1FI72_LOALO/17-145	7.733333 (5)	0.000000 (0)
PA23_DABRR/1-121	12.733334 (6)	10.500000 (2)
F1LAZ2_ASCSU/27-147	12.733334 (6)	0.000000 (0)
Q6DQ95_RAT/29-150	12.733334 (6)	0.000000 (0)
E4Y694_OIKDI/34-169	0.000000 (1)	0.000000 (1)
E4Y2I5_OIKDI/83-219	0.566667 (2)	0.000000 (0)
G1P778_MYOLU/319-435	6.000000 (4)	0.000000 (1)
Q3I774_9METZ/17-137	12.733334 (6)	10.500000 (2)
A0JL26_DANRE/54-175	3.866667 (3)	0.000000 (0)
E4WQ49_OIKDI/49-176	0.000000 (0)	0.000000 (0)
PA2B_DEIAC/17-138	12.733334 (6)	10.500000 (2)
G1SL47_RABIT/64-188	12.733334 (6)	0.000000 (0)
Q45Z31_9SAUR/28-151	12.733334 (6)	10.500000 (2)
PA2H_DEIAC/17-138	7.733333 (5)	0.000000 (1)
PA2H_ATRNM/1-121	7.733333 (5)	0.000000 (1)
H2WC80_CAEJA/27-144	12.733334 (6)	0.000000 (1)
PA2J_PROFL/17-138	7.733333 (5)	0.000000 (1)
Q2YHJ4_TRIBO/17-138	6.000000 (4)	0.000000 (1)
PA22_PSETE/28-153	12.733334 (6)	10.500000 (2)
Q45Z50_OXYSU/28-153	9.900000 (5)	10.500000 (2)
G6CSQ4_DANPL/109-232	9.900000 (5)	0.000000 (0)
Q3V5J7_CAEEL/19-138	3.866667 (3)	0.000000 (0)
PA2_AIPLA/28-143	12.733334 (6)	10.500000 (2)
G1LXG6_AILME/36-157	12.733334 (6)	0.000000 (0)
Q546H2_BUNMU/28-146	12.733334 (6)	10.500000 (2)
PA2H_XENLA/2-120	6.433333 (4)	10.500000 (2)
Q65ZR0_9SAUR/2-124	12.733334 (6)	10.500000 (2)
G3WHN3_SARHA/18-141	12.733334 (6)	0.000000 (1)
Q0IIC8_BOVIN/21-144	9.900000 (5)	10.500000 (2)
E4Y507_OIKDI/193-333	0.000000 (1)	0.000000 (0)
A0JL26_DANRE/736-853	3.400000 (3)	0.000000 (0)
Q6T7B8_BITGA/17-137	12.733334 (6)	10.500000 (2)
Q7T3T5_DABRU/9-130	12.733334 (6)	10.500000 (2)
E9Q312_MOUSE/281-397	6.000000 (4)	0.000000 (1)
G3VTN8_SARHA/76-191	3.866667 (3)	0.000000 (1)
O57313_PAGMA/24-148	12.733334 (6)	10.500000 (2)
PA2GA_BOVIN/21-138	9.900000 (5)	10.500000 (2)
H2YNM2_CIOSA/19-144	12.733334 (6)	0.000000 (0)
PA21B_BOTJA/1-124	12.733334 (6)	0.000000 (1)
Q45Z46_OXYMI/28-144	3.400000 (3)	10.500000 (2)
F6UHQ4_MONDO/21-140	3.400000 (3)	0.000000 (1)
A8Y2G9_CAEBR/22-139	3.866667 (3)	0.000000 (0)
E4YMN8_OIKDI/46-178	0.000000 (0)	0.000000 (1)
E4X7S2_OIKDI/31-169	0.000000 (0)	0.000000 (0)
PA2B1_BOTJR/17-137	6.000000 (4)	0.000000 (1)
G3TYR4_LOXAF/23-146	12.733334 (6)	10.500000 (2)
E4WT13_OIKDI/89-229	0.000000 (0)	0.000000 (0)
B0LSF5_9SAUR/17-138	12.733334 (6)	10.500000 (2)
A6MJG5_HOPST/28-151	12.733334 (6)	10.500000 (2)
H0Z3E9_TAEGU/26-144	12.733334 (6)	10.500000 (2)
C3Z8G0_BRAFL/39-148	12.733334 (6)	10.500000 (2)
H3ID90_STRPU/28-156	12.733334 (6)	0.000000 (0)
G1T2H3_RABIT/302-419	6.000000 (4)	0.000000 (1)
Q2YHJ2_TRIBO/17-138	12.733334 (6)	10.500000 (2)
G3VSJ6_SARHA/21-138	12.733334 (6)	10.500000 (2)
Q9QX68_MESAU/22-145	12.733334 (6)	0.000000 (1)
E4XCE3_OIKDI/65-199	0.000000 (0)	0.000000 (0)
F6PVL8_CIOIN/18-144	12.733334 (6)	0.000000 (0)
Q3I776_9METZ/17-137	12.733334 (6)	10.500000 (2)
C3UWC9_CERCE/17-137	12.733334 (6)	10.500000 (2)
I1SB18_VIPAE/1-122	7.733333 (5)	10.500000 (2)
G1SDH1_RABIT/17-138	12.733334 (6)	0.000000 (0)
PA2A1_BUNFL/28-145	12.733334 (6)	10.500000 (2)
Q0KKQ2_PAGMA/26-150	12.733334 (6)	10.500000 (2)
E4Y954_OIKDI/28-162	0.000000 (0)	0.000000 (0)
H2S2R2_TAKRU/19-135	3.866667 (3)	0.000000 (1)
PA21B_NOTSC/1-118	9.033334 (5)	10.500000 (2)
F1SU17_PIG/21-147	12.733334 (6)	0.000000 (0)
B5G6G0_9SAUR/28-145	12.733334 (6)	10.500000 (2)
H3BG53_LATCH/29-152	12.733334 (6)	10.500000 (2)
G3W677_SARHA/40-161	12.733334 (6)	0.000000 (0)
G3WIW5_SARHA/21-149	12.733334 (6)	0.000000 (1)
H0ZGV5_TAEGU/23-146	12.733334 (6)	10.500000 (2)
E1C202_CHICK/29-150	12.733334 (6)	10.500000 (2)
E4XS67_OIKDI/60-196	0.000000 (1)	0.000000 (0)
E4YLK0_OIKDI/24-148	0.000000 (0)	0.000000 (0)
G1QDI4_MYOLU/21-137	12.733334 (6)	0.000000 (1)
Q90ZI4_PAGMA/26-148	12.733334 (6)	10.500000 (2)
H2NIV2_PONAB/23-146	12.733334 (6)	10.500000 (2)
H2LJ82_ORYLA/28-149	12.733334 (6)	10.500000 (2)
F6ZRG6_CIOIN/39-165	12.733334 (6)	0.000000 (1)
F6TK24_XENTR/28-142	12.733334 (6)	0.000000 (1)
G7NUT6_MACFA/21-142	12.733334 (6)	10.500000 (2)
PA21B_PROMU/1-122	12.733334 (6)	10.500000 (2)
H3J695_STRPU/50-190	12.733334 (6)	10.500000 (2)
PA22_BITNA/1-119	12.733334 (6)	10.500000 (2)
A7X4N6_AZEFE/17-136	3.866667 (3)	0.000000 (1)
A7RYD7_NEMVE/1-107	12.733334 (6)	10.500000 (2)
PA2G_BUNFA/18-141	12.733334 (6)	10.500000 (2)
H2U8D9_TAKRU/29-150	12.733334 (6)	10.500000 (2)
E4YSN4_OIKDI/141-281	0.000000 (1)	0.000000 (0)
G3TNQ0_LOXAF/22-144	12.733334 (6)	10.500000 (2)
A7X4P4_AZEFE/17-138	12.733334 (6)	10.500000 (2)
PA2B2_BOTMA/1-121	12.733334 (6)	0.000000 (1)
PA21B_BOTMO/1-121	6.000000 (4)	0.000000 (1)
PA2W_PROFL/17-138	12.733334 (6)	10.500000 (2)
G3I6R8_CRIGR/15-123	3.400000 (3)	0.000000 (1)
Q7ZZQ1_DABRU/17-138	12.733334 (6)	10.500000 (2)
G3TZJ8_LOXAF/288-403	6.000000 (4)	0.000000 (1)
H0W2D4_CAVPO/21-146	12.733334 (6)	10.500000 (2)
F1PPR2_CANFA/31-152	12.733334 (6)	0.000000 (0)
Q4SWU0_TETNG/14-132	6.000000 (4)	0.000000 (0)
E4Z0Y8_OIKDI/79-215	0.566667 (2)	0.000000 (0)
C3Y4E1_BRAFL/36-157	12.733334 (6)	0.000000 (0)
PA23_ECHCO/17-138	12.733334 (6)	10.500000 (2)
E4YSK4_OIKDI/6-139	0.566667 (2)	0.000000 (0)
PA2GF_MOUSE/21-145	12.733334 (6)	0.000000 (0)
H3J5A5_STRPU/1-127	12.733334 (6)	0.000000 (1)
F1LFX1_ASCSU/24-136	12.733334 (6)	0.000000 (0)
G3WJS3_SARHA/21-144	12.733334 (6)	10.500000 (2)
PA2_BOTPI/1-122	12.733334 (6)	10.500000 (2)
B0LSF9_9SAUR/17-136	12.733334 (6)	10.500000 (2)
PA28_AUSSU/28-144	12.733334 (6)	10.500000 (2)
G3WHY8_SARHA/21-144	9.900000 (5)	0.000000 (0)
O96100_ASTPE/21-157	12.733334 (6)	0.000000 (1)
E1BG04_BOVIN/318-432	6.000000 (4)	0.000000 (1)
PA21B_GLOBL/1-122	12.733334 (6)	10.500000 (2)
H9GGW3_ANOCA/21-139	12.733334 (6)	0.000000 (1)
C3Z8F9_BRAFL/23-129	12.733334 (6)	10.500000 (2)
F1SUN7_PIG/27-151	12.733334 (6)	10.500000 (2)
Q6H3D1_VIRST/1-122	7.733333 (5)	0.000000 (1)
A8E2V8_9SAUR/17-139	12.733334 (6)	10.500000 (2)
D5J9R6_9SAUR/28-146	12.733334 (6)	10.500000 (2)
PA2GC_RAT/21-143	12.733334 (6)	0.000000 (0)
H0VLW6_CAVPO/21-137	12.733334 (6)	0.000000 (1)
PA213_CRODR/1-122	12.733334 (6)	10.500000 (2)
A7X4U6_CAURH/17-137	12.733334 (6)	10.500000 (2)
PA2_CROAT/17-138	12.733334 (6)	10.500000 (2)
G3SX93_LOXAF/23-138	12.733334 (6)	0.000000 (1)
PA2H1_BOTAT/17-138	7.733333 (5)	0.000000 (1)
E2RM12_CANFA/20-137	12.733334 (6)	10.500000 (2)
C3Y4E2_BRAFL/1-107	12.733334 (6)	10.500000 (2)
PA21_BUNCE/20-136	12.733334 (6)	10.500000 (2)
E4X2D3_OIKDI/104-241	0.000000 (1)	0.000000 (1)
PA22_OPHHA/28-146	12.733334 (6)	10.500000 (2)
PA217_AUSSU/28-151	12.733334 (6)	10.500000 (2)
C1IC45_WALAE/18-136	12.733334 (6)	10.500000 (2)
G1L921_AILME/29-153	12.733334 (6)	0.000000 (0)
F6XCW2_XENTR/24-148	12.733334 (6)	10.500000 (2)
D5MRR1_9SAUR/28-144	12.733334 (6)	10.500000 (2)
E4X477_OIKDI/103-232	0.000000 (0)	0.000000 (0)
F7A6K0_MONDO/13-134	12.733334 (6)	0.000000 (1)
E4Y5E6_OIKDI/97-242	0.000000 (0)	0.000000 (1)
PA21_HEMHA/1-118	12.733334 (6)	10.500000 (2)
B3EXG8_MICFL/23-138	12.733334 (6)	10.500000 (2)
H3AU65_LATCH/226-348	6.000000 (4)	10.500000 (2)
PA2A_CROSS/17-138	12.733334 (6)	10.500000 (2)
Q45Z39_PSETE/28-151	12.733334 (6)	10.500000 (2)
D5MRR3_9SAUR/28-144	12.733334 (6)	0.000000 (1)
H3HJ91_STRPU/32-159	12.733334 (6)	0.000000 (1)
PA21B_ACAAN/1-118	12.733334 (6)	10.500000 (2)
E1BW10_CHICK/77-192	3.866667 (3)	0.000000 (1)
E4YJ39_OIKDI/67-199	0.000000 (0)	0.000000 (0)
E4YQW9_OIKDI/69-209	0.000000 (0)	0.000000 (0)
E4XPP1_OIKDI/86-225	0.433333 (2)	0.000000 (1)
F7EJ44_XENTR/356-474	6.000000 (4)	0.000000 (1)
E4XSK0_OIKDI/34-167	0.000000 (0)	0.000000 (0)
Q17F52_AEDAE/45-164	9.900000 (5)	0.000000 (1)
F7G3C7_ORNAN/331-443	6.000000 (4)	0.000000 (1)
PA2_DABRR/1-121	12.733334 (6)	10.500000 (2)
F1ML26_BOVIN/18-138	12.733334 (6)	10.500000 (2)
PA2Q_PROFL/17-138	12.733334 (6)	10.500000 (2)
E4XR89_OIKDI/37-170	0.566667 (2)	0.000000 (0)
E4X8H6_OIKDI/21-155	0.000000 (0)	0.000000 (1)
F7HJF6_CALJA/21-141	12.733334 (6)	0.000000 (0)
E4WQ92_OIKDI/32-168	0.000000 (0)	0.000000 (0)
E4XKB7_OIKDI/2-123	0.000000 (0)	0.000000 (0)
A8CG90_9SAUR/17-137	12.733334 (6)	10.500000 (2)
E4YUC5_OIKDI/22-159	0.000000 (0)	0.000000 (0)
Q7QFU1_ANOGA/393-512	9.900000 (5)	0.000000 (1)
Q3S3F8_MYTED/33-151	12.733334 (6)	0.000000 (1)
PA2R4_BOTAL/1-121	12.733334 (6)	10.500000 (2)
Q2PWA3_PROMU/17-138	7.733333 (5)	0.000000 (0)
PA2A_MICNI/1-117	12.733334 (6)	10.500000 (2)
G3GWN7_CRIGR/18-139	12.733334 (6)	0.000000 (0)
PA2_URTCR/45-155	12.733334 (6)	10.500000 (2)
G1KKJ3_ANOCA/348-466	6.000000 (4)	0.000000 (1)
H0ZQL9_TAEGU/277-397	6.000000 (4)	0.000000 (1)
Q6H3D7_VIRST/17-137	6.000000 (4)	0.000000 (1)
PA26_NAJSG/8-124	9.900000 (5)	10.500000 (2)
B0LSF4_9SAUR/17-138	12.733334 (6)	10.500000 (2)
H2LQ35_ORYLA/54-168	3.866667 (3)	0.000000 (1)
B8QN52_CHICK/23-146	12.733334 (6)	10.500000 (2)
E4Z2G7_OIKDI/41-176	0.000000 (0)	0.000000 (0)
PA21B_OVOOK/17-139	12.733334 (6)	10.500000 (2)
E4Y759_OIKDI/75-227	0.000000 (1)	0.000000 (0)
PA21B_OPHHA/28-151	12.733334 (6)	10.500000 (2)
E4XY97_OIKDI/39-175	0.000000 (0)	0.000000 (1)
B3RY31_TRIAD/1-116	12.733334 (6)	0.000000 (0)
A8E2V6_CERGO/17-139	12.733334 (6)	10.500000 (2)
G3SLG8_LOXAF/22-146	12.733334 (6)	0.000000 (1)
H9JYD7_BOMMO/30-150	9.900000 (5)	0.000000 (1)
H3IG70_STRPU/6-144	12.733334 (6)	0.000000 (0)
PA2_VIPBB/1-122	12.733334 (6)	10.500000 (2)
E4Y144_OIKDI/14-148	0.000000 (1)	0.000000 (0)
E4XT46_OIKDI/78-219	0.000000 (1)	0.000000 (0)
E4YID9_OIKDI/63-204	0.000000 (1)	0.000000 (0)
H3HZW0_STRPU/40-179	12.733334 (6)	0.000000 (0)
E1BGU4_BOVIN/37-156	12.733334 (6)	0.000000 (1)
PA29_PSEAU/1-117	12.733334 (6)	10.500000 (2)
PA23_OVOOK/17-137	7.733333 (5)	10.500000 (2)
G3U0B8_LOXAF/30-151	12.733334 (6)	0.000000 (1)
E4Y955_OIKDI/25-160	0.000000 (0)	0.000000 (0)
PA2Y_PROFL/17-138	12.733334 (6)	10.500000 (2)
H8PG88_9SAUR/28-145	12.733334 (6)	10.500000 (2)
PA2B_PSETE/1-120	6.000000 (4)	10.500000 (2)
PA21B_HORSE/8-131	12.733334 (6)	10.500000 (2)
Q24JV5_DANRE/14-139	12.733334 (6)	10.500000 (2)
PA22_ERIMA/1-121	12.733334 (6)	10.500000 (2)
E4XHK9_OIKDI/76-216	0.000000 (1)	0.000000 (0)
F1SZV7_PROFL/17-138	12.733334 (6)	0.000000 (1)
F5CPF0_MICAT/28-140	12.733334 (6)	10.500000 (2)
F6ZR11_MONDO/64-189	12.733334 (6)	0.000000 (0)
A6MFM2_DEMVE/28-151	12.733334 (6)	10.500000 (2)
H8PG82_9SAUR/28-145	12.733334 (6)	10.500000 (2)
F6ZRQ6_MONDO/11-143	12.733334 (6)	0.000000 (1)
E4Y944_OIKDI/31-162	0.000000 (1)	0.000000 (1)
H3F4P4_PRIPA/26-140	3.866667 (3)	0.000000 (0)
E5SP62_TRISP/48-171	12.733334 (6)	0.000000 (0)
PA2H_CROAT/17-137	7.733333 (5)	0.000000 (1)
A7RYD8_NEMVE/1-107	12.733334 (6)	0.000000 (1)
PA21B_MOUSE/23-146	12.733334 (6)	10.500000 (2)
H0VX43_CAVPO/34-155	12.733334 (6)	0.000000 (0)
G1SR98_RABIT/20-139	12.733334 (6)	10.500000 (2)
H2YSX8_CIOSA/1-120	12.733334 (6)	0.000000 (1)
E4Z5C9_OIKDI/9-152	0.433333 (2)	0.000000 (0)
E4Y9X4_OIKDI/54-186	0.000000 (1)	0.000000 (0)
G3VJN5_SARHA/25-141	12.733334 (6)	0.000000 (1)
H0WKR5_OTOGA/20-137	12.733334 (6)	10.500000 (2)
G1N9E7_MELGA/23-144	12.733334 (6)	10.500000 (2)
A8CG82_DABRU/17-138	12.733334 (6)	10.500000 (2)
G1SRA0_RABIT/23-146	12.733334 (6)	10.500000 (2)
E9GJA4_DAPPU/5-125	9.900000 (5)	0.000000 (0)
PA25_ECHPL/17-139	12.733334 (6)	10.500000 (2)
B3SE98_TRIAD/3-111	12.733334 (6)	0.000000 (0)
F7E4C1_MACMU/72-176	1.033333 (2)	0.000000 (1)
Q5W1P3_BOVIN/7-128	9.033334 (5)	0.000000 (1)
G3T4Q2_LOXAF/21-144	12.733334 (6)	10.500000 (2)
C3YYK9_BRAFL/38-147	12.733334 (6)	0.000000 (1)
E9FRS7_DAPPU/35-170	12.733334 (6)	10.500000 (2)
E4XXJ5_OIKDI/75-217	0.000000 (1)	0.000000 (0)
H0VG65_CAVPO/20-136	12.733334 (6)	10.500000 (2)
D5MRQ5_9SAUR/28-151	12.733334 (6)	10.500000 (2)
PA20_BUNMU/28-144	12.733334 (6)	10.500000 (2)
E4XWI9_OIKDI/26-158	0.000000 (0)	0.000000 (1)
PA2X_PROFL/1-122	12.733334 (6)	10.500000 (2)
F1PTB7_CANFA/17-142	1.733333 (3)	0.000000 (1)
E4XKL3_OIKDI/45-184	0.000000 (0)	0.000000 (0)
E4XAH1_OIKDI/44-174	0.000000 (0)	0.000000 (0)
E4XS70_OIKDI/66-201	0.566667 (2)	0.000000 (0)
F6YIJ4_HORSE/7-125	12.733334 (6)	0.000000 (0)
G3I6R7_CRIGR/23-141	12.733334 (6)	10.500000 (2)
F1NZ96_CHICK/20-139	12.733334 (6)	10.500000 (2)
A8WTM4_CAEBR/23-145	12.733334 (6)	0.000000 (0)
E4XH01_OIKDI/17-137	0.000000 (1)	0.000000 (0)
E4WT50_OIKDI/96-228	0.000000 (1)	0.000000 (0)
PA26_GLOHA/1-124	12.733334 (6)	10.500000 (2)
G3INN9_CRIGR/1-116	1.766667 (2)	0.000000 (1)
E4WRG6_OIKDI/94-237	0.000000 (1)	0.000000 (1)
H0XQW0_OTOGA/21-145	12.733334 (6)	0.000000 (0)
C3YX84_BRAFL/43-152	12.733334 (6)	0.000000 (1)
PA2_ADAPA/38-156	12.733334 (6)	10.500000 (2)
E4XJ61_OIKDI/109-237	0.000000 (0)	0.000000 (0)
F8QN51_VIPUR/17-137	12.733334 (6)	10.500000 (2)
G1N1S3_MELGA/1-121	12.733334 (6)	0.000000 (0)
F1MN86_BOVIN/29-152	12.733334 (6)	0.000000 (0)
G3I6R6_CRIGR/1-108	6.433333 (4)	0.000000 (1)
H8PG83_9SAUR/28-136	12.733334 (6)	10.500000 (2)
G1U0P3_RABIT/21-146	12.733334 (6)	10.500000 (2)
A8E2V7_CERGO/1-121	7.733333 (5)	0.000000 (1)
H3BG47_LATCH/28-151	12.733334 (6)	0.000000 (1)
PA2B2_BOTJR/17-138	12.733334 (6)	10.500000 (2)
B5U6Y4_ECHOC/17-138	7.733333 (5)	0.000000 (1)
E4YAP7_OIKDI/283-422	0.000000 (0)	0.000000 (1)
PA21_BUNCA/28-151	12.733334 (6)	10.500000 (2)
Q9DEB0_PAGMA/25-146	12.733334 (6)	10.500000 (2)
G1R175_NOMLE/215-335	3.866667 (3)	0.000000 (1)
E4YYG9_OIKDI/41-179	0.000000 (0)	0.000000 (1)
G3SVI6_LOXAF/77-195	3.866667 (3)	0.000000 (1)
A7X418_TRIBI/28-151	12.733334 (6)	10.500000 (2)
C3UWD0_CERCE/17-136	12.733334 (6)	10.500000 (2)
H2UXE4_TAKRU/24-146	12.733334 (6)	10.500000 (2)
H3JHT9_STRPU/28-154	12.733334 (6)	0.000000 (1)
C7S7C0_PSETE/28-144	12.733334 (6)	10.500000 (2)
PA2TX_BOTAL/1-121	7.733333 (5)	0.000000 (1)
G1T2H3_RABIT/60-178	3.866667 (3)	0.000000 (1)
G1PR47_MYOLU/37-156	12.733334 (6)	0.000000 (0)
F6VFV8_MONDO/23-148	12.733334 (6)	10.500000 (2)
H2N8R8_PONAB/64-188	12.733334 (6)	0.000000 (0)
G1T522_RABIT/21-144	12.733334 (6)	10.500000 (2)
PA23_BOTPI/1-120	12.733334 (6)	0.000000 (1)
G1SUZ8_RABIT/21-137	12.733334 (6)	0.000000 (1)
E4YME6_OIKDI/29-158	0.000000 (0)	0.000000 (0)
B3S7T2_TRIAD/9-127	12.733334 (6)	0.000000 (0)
E4X902_OIKDI/238-385	0.000000 (1)	0.000000 (0)
H9G6L6_ANOCA/28-151	12.733334 (6)	10.500000 (2)
A7SNJ7_NEMVE/43-160	12.733334 (6)	10.500000 (2)
Q8K0Y1_MOUSE/21-143	12.733334 (6)	0.000000 (0)
G9KGX9_MUSPF/10-129	12.733334 (6)	0.000000 (1)
F7BBP1_HORSE/21-141	12.733334 (6)	10.500000 (2)
E5T1H8_TRISP/48-170	12.733334 (6)	0.000000 (0)
F1RRT8_PIG/64-180	3.866667 (3)	0.000000 (1)
E4X9Z5_OIKDI/83-222	0.433333 (2)	0.000000 (0)
Q0VJ50_9SAUR/1-122	12.733334 (6)	10.500000 (2)
